weights,cell,n_bias,sharpe,delta,ci_low,ci_high,p,holm_adj,bh_adj
fixed,none (honest),0,0.655,0.0,,,,,
fixed,C,1,0.604,-0.051,-0.15,0.05,0.3132,1.0,0.8769599999999999
fixed,B,1,0.685,0.03,0.001,0.069,0.036,0.46799999999999997,0.252
fixed,BC,2,0.64,-0.015,-0.117,0.087,0.7988,1.0,0.9338000000000001
fixed,A,1,0.553,-0.102,-0.222,-0.014,0.0128,0.1792,0.1792
fixed,AC,2,0.615,-0.04,-0.137,0.058,0.4188,1.0,0.9338000000000001
fixed,AB,2,0.614,-0.041,-0.1,0.019,0.1708,1.0,0.6944
fixed,ABC,3,0.654,-0.001,-0.096,0.098,0.9984,1.0,0.9984
optimized,none (honest),0,0.688,0.0,,,,,
optimized,C,1,0.67,-0.017,-0.149,0.109,0.8004,1.0,0.9338000000000001
optimized,B,1,0.677,-0.01,-0.067,0.039,0.7388,1.0,0.9338000000000001
optimized,BC,2,0.63,-0.058,-0.255,0.132,0.5688,1.0,0.9338000000000001
optimized,A,1,0.716,0.028,-0.1,0.16,0.6504,1.0,0.9338000000000001
optimized,AC,2,0.653,-0.034,-0.232,0.157,0.7544,1.0,0.9338000000000001
optimized,AB,2,0.526,-0.162,-0.334,0.056,0.1984,1.0,0.6944
optimized,ABC,3,0.676,-0.012,-0.171,0.141,0.8844,1.0,0.9524307692307692
