weights,cell,sharpe,sharpe_ref,delta,ci_low,ci_high,p,n_months,rho,boot_se,mde_80,mde_50
fixed,C,0.604,0.655,-0.051,-0.15,0.05,0.3132,535,0.9614,0.05102040816326531,0.1429380213322943,0.09999816247653337
fixed,B,0.685,0.655,0.03,0.001,0.069,0.036,535,0.9928,0.017346938775510204,0.04859892725298006,0.033999375242021346
fixed,BC,0.64,0.655,-0.015,-0.117,0.087,0.7988,535,0.9603,0.05204081632653062,0.1457967817589402,0.10199812572606405
fixed,A,0.553,0.655,-0.102,-0.222,-0.014,0.0128,535,0.9738,0.053061224489795916,0.14865554218558608,0.1039980889755947
fixed,AC,0.615,0.655,-0.04,-0.137,0.058,0.4188,535,0.9626,0.04974489795918367,0.13936457079898695,0.09749820841462004
fixed,AB,0.614,0.655,-0.041,-0.1,0.019,0.1708,535,0.9817,0.03035714285714286,0.08504812269271513,0.05949890667353736
fixed,ABC,0.654,0.655,-0.001,-0.096,0.098,0.9984,535,0.9617,0.04948979591836735,0.13864988069232548,0.09699821760223738
optimized,C,0.67,0.688,-0.017,-0.149,0.109,0.8004,535,0.9439,0.06581632653061224,0.18439004751865964,0.12899762959472805
optimized,B,0.677,0.688,-0.01,-0.067,0.039,0.7388,535,0.9887,0.027040816326530614,0.07575715130611599,0.052999026112562686
optimized,BC,0.63,0.688,-0.058,-0.255,0.132,0.5688,535,0.8595,0.09872448979591837,0.2765850712779895,0.19349644439209207
optimized,A,0.716,0.688,0.028,-0.1,0.16,0.6504,535,0.9071,0.0663265306122449,0.1858194277319826,0.12999761121949338
optimized,AC,0.653,0.688,-0.034,-0.232,0.157,0.7544,535,0.8763,0.09923469387755103,0.27801445149131243,0.19449642601685743
optimized,AB,0.526,0.688,-0.162,-0.334,0.056,0.1984,535,0.8457,0.09948979591836735,0.2787291415979739,0.19499641682924007
optimized,ABC,0.676,0.688,-0.012,-0.171,0.141,0.8844,535,0.8887,0.07959183673469387,0.2229833132783791,0.15599713346339206
