,regime,asset,mean_return_%,volatility_%,sharpe,hit_rate_%,worst_month_%,max_drawdown_%,t_stat_hac,t_stat_naive,n_months,regime_months,downside_months
0,expansion,equity,11.06,12.86,0.86,61.8,-14.12,-22.51,3.07,3.06,152,152,58
1,expansion,bonds,6.86,9.36,0.73,57.9,-6.14,-14.81,2.62,2.61,152,152,64
2,expansion,commodities,2.6,8.04,0.32,66.4,-11.16,-30.45,1.15,1.15,152,152,48
3,recession,equity,8.78,18.12,0.48,60.9,-16.52,-50.78,2.08,2.07,220,220,85
4,recession,bonds,8.25,14.15,0.58,59.1,-13.07,-34.67,2.5,2.5,220,220,90
5,recession,commodities,4.88,14.49,0.34,57.3,-25.08,-61.75,1.45,1.44,220,220,85
6,recovery,equity,16.45,14.84,1.11,63.4,-10.49,-28.01,3.68,3.66,131,131,48
7,recovery,bonds,6.47,11.64,0.56,61.1,-8.21,-17.17,1.84,1.84,131,131,51
8,recovery,commodities,5.28,10.27,0.51,64.1,-14.62,-15.38,1.7,1.7,131,131,40
9,slowdown,equity,12.61,14.62,0.86,63.6,-22.59,-29.85,3.31,3.3,176,176,63
10,slowdown,bonds,5.57,9.62,0.58,54.5,-9.42,-31.37,2.22,2.22,176,176,80
11,slowdown,commodities,4.26,10.81,0.39,61.9,-12.61,-46.48,1.51,1.51,176,176,61
