,regime,asset,mean_return_%,volatility_%,sharpe,hit_rate_%,worst_month_%,max_drawdown_%,t_stat_hac,t_stat_naive,n_months,regime_months,downside_months
0,deflation,equity,15.62,15.32,1.02,67.3,-12.49,-20.04,3.86,3.85,171,171,55
1,deflation,bonds,6.2,12.74,0.49,54.4,-13.07,-29.84,1.84,1.84,171,171,78
2,deflation,commodities,3.52,13.13,0.27,56.1,-17.34,-51.98,1.02,1.01,171,171,67
3,goldilocks,equity,16.04,13.34,1.2,64.2,-14.12,-15.28,4.8,4.79,190,190,68
4,goldilocks,bonds,6.78,10.08,0.67,63.2,-7.95,-22.04,2.68,2.68,190,190,70
5,goldilocks,commodities,3.89,6.58,0.59,66.8,-11.16,-14.21,2.36,2.35,190,190,53
6,reflation,equity,7.49,14.53,0.52,58.1,-10.49,-24.03,1.44,1.44,93,93,39
7,reflation,bonds,7.59,11.17,0.68,52.7,-8.21,-14.44,1.9,1.89,93,93,44
8,reflation,commodities,3.29,12.87,0.26,61.3,-14.62,-34.93,0.71,0.71,93,93,36
9,stagflation,equity,6.99,17.6,0.4,58.7,-22.59,-48.92,1.72,1.72,225,225,92
10,stagflation,bonds,7.25,12.08,0.6,58.7,-12.78,-36.07,2.6,2.6,225,225,93
11,stagflation,commodities,5.61,12.89,0.44,62.2,-25.08,-64.1,1.89,1.88,225,225,78
