,start,end,months
0,1967-03-31,1967-07-31,5
1,1968-08-31,1968-10-31,3
2,1969-02-28,1969-04-30,3
3,1969-09-30,1969-12-31,4
4,1979-06-30,1980-01-31,8
5,1981-03-31,1981-05-31,3
6,1986-04-30,1987-01-31,10
7,1989-07-31,1990-03-31,9
8,1992-02-29,1992-04-30,3
9,1992-08-31,1992-10-31,3
10,1995-06-30,1995-08-31,3
11,1996-01-31,1996-04-30,4
12,2000-09-30,2001-03-31,7
13,2003-04-30,2003-07-31,4
14,2005-11-30,2006-02-28,4
15,2006-06-30,2006-11-30,6
16,2007-03-31,2007-12-31,10
17,2011-06-30,2011-08-31,3
18,2016-06-30,2016-08-31,3
19,2018-12-31,2019-07-31,8
20,2019-11-30,2020-02-29,4
21,2020-05-31,2020-07-31,3
22,2021-01-31,2021-05-31,5
23,2022-08-31,2022-10-31,3
24,2023-02-28,2023-08-31,7
25,2023-12-31,2025-08-31,21
26,2025-12-31,2026-03-31,4
